bodyPart,equipment,gifUrl,name,target
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0474.gif,hanging straight leg hip raise,abs
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0475.gif,hanging straight leg raise,abs
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0476.gif,hanging straight twisting leg hip raise,abs
cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/3636.gif,high knee against wall,cardiovascular system
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0484.gif,hip raise (bent knee),abs
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1418.gif,hug keens to chest,glutes
chest,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/3234.gif,hyght dumbbell fly,pectorals
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0489.gif,hyperextension,spine
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0488.gif,hyperextension (on bench),spine
upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/3289.gif,impossible dips,triceps
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/1471.gif,inchworm,abs
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3698.gif,inchworm v. 2,abs
upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/0490.gif,incline close-grip push-up,triceps
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0491.gif,incline leg hip raise (leg straight),abs
chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/0492.gif,incline push up depth jump,pectorals
chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/0493.gif,incline push-up,pectorals
chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/3785.gif,incline push-up (on box),pectorals
chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/0494.gif,incline reverse grip push-up,pectorals
chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/3011.gif,incline scapula push up,serratus anterior
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0495.gif,incline twisting sit-up,abs
upper legs,rope,http://d205bpvrqc9yn1.cloudfront.net/1564.gif,intermediate hip flexor and quad stretch,quads
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0496.gif,inverse leg curl (bench support),hamstrings
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/2400.gif,inverse leg curl (on pull-up cable machine),hamstrings
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0499.gif,inverted row,upper back
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/2300.gif,inverted row bent knees,upper back
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/2298.gif,inverted row on bench,upper back
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0497.gif,inverted row v. 2,upper back
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0498.gif,inverted row with straps,upper back
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1419.gif,iron cross stretch,glutes
chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/1297.gif,isometric chest squeeze,pectorals
chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/0500.gif,isometric wipers,pectorals
cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/0501.gif,jack burpee,cardiovascular system
cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/3224.gif,jack jump (male),cardiovascular system
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0507.gif,jackknife sit-up,abs
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0508.gif,janda sit-up,abs
cardio,rope,http://d205bpvrqc9yn1.cloudfront.net/2612.gif,jump rope,cardiovascular system
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0514.gif,jump squat,glutes
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0513.gif,jump squat v. 2,glutes
waist,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0517.gif,kettlebell advanced windmill,abs
lower arms,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0518.gif,kettlebell alternating hang clean,forearms
shoulders,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0520.gif,kettlebell alternating press,delts
chest,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0519.gif,kettlebell alternating press on floor,pectorals
back,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0521.gif,kettlebell alternating renegade row,upper back
back,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0522.gif,kettlebell alternating row,upper back
shoulders,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0523.gif,kettlebell arnold press,delts
waist,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0524.gif,kettlebell bent press,abs
upper arms,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0525.gif,kettlebell bottoms up clean from the hang position,biceps
upper arms,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0526.gif,kettlebell double alternating hang clean,biceps
shoulders,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0527.gif,kettlebell double jerk,delts
shoulders,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0528.gif,kettlebell double push press,delts
shoulders,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0529.gif,kettlebell double snatch,delts
waist,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0530.gif,kettlebell double windmill,abs
chest,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0531.gif,kettlebell extended range one arm press on floor,pectorals
waist,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0532.gif,kettlebell figure 8,abs
upper legs,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0533.gif,kettlebell front squat,glutes
upper legs,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0534.gif,kettlebell goblet squat,glutes
upper legs,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0535.gif,kettlebell hang clean,hamstrings
upper legs,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0536.gif,kettlebell lunge pass through,glutes
shoulders,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0537.gif,kettlebell one arm clean and jerk,delts
chest,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/1298.gif,kettlebell one arm floor press,pectorals
shoulders,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0538.gif,kettlebell one arm jerk,delts
shoulders,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0539.gif,kettlebell one arm military press to the side,delts
shoulders,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0540.gif,kettlebell one arm push press,delts
back,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0541.gif,kettlebell one arm row,upper back
shoulders,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0542.gif,kettlebell one arm snatch,delts
shoulders,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0543.gif,kettlebell pirate supper legs,delts
upper legs,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0544.gif,kettlebell pistol squat,glutes
chest,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0545.gif,kettlebell plyo push-up,pectorals
shoulders,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0546.gif,kettlebell seated press,delts
shoulders,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/1438.gif,kettlebell seated two arm military press,delts
shoulders,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0547.gif,kettlebell seesaw press,delts
back,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0548.gif,kettlebell sumo high pull,traps
upper legs,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0549.gif,kettlebell swing,glutes
shoulders,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0550.gif,kettlebell thruster,delts
upper legs,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0551.gif,kettlebell turkish get up (squat style),glutes
shoulders,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0552.gif,kettlebell two arm clean,delts
shoulders,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0553.gif,kettlebell two arm military press,delts
back,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/1345.gif,kettlebell two arm row,upper back
waist,kettlebell,http://d205bpvrqc9yn1.cloudfront.net/0554.gif,kettlebell windmill,abs
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0555.gif,kick out sit,hamstrings
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0558.gif,kipping muscle up,lats
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3640.gif,knee touch crunch,abs
upper legs,barbell,http://d205bpvrqc9yn1.cloudfront.net/1420.gif,kneeling jump squat,glutes
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/1346.gif,kneeling lat stretch,lats
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3239.gif,kneeling plank tap shoulder (male),abs
chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/3211.gif,kneeling push-up (male),pectorals
chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/3288.gif,korean dips,pectorals
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/3418.gif,l-pull-up,lats
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3419.gif,l-sit on floor,abs
waist,barbell,http://d205bpvrqc9yn1.cloudfront.net/0562.gif,landmine 180,abs
shoulders,barbell,http://d205bpvrqc9yn1.cloudfront.net/3237.gif,landmine lateral raise,delts
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3300.gif,lean planche,abs
shoulders,body weight,http://d205bpvrqc9yn1.cloudfront.net/2271.gif,left hook. boxing,delts
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0570.gif,leg pull in flat bench,abs
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1576.gif,leg up hamstring stretch,hamstrings
upper legs,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/2287.gif,lever alternate leg press ,quads
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0571.gif,lever alternating narrow grip seated row ,upper back
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0572.gif,lever assisted chin-up,lats
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0573.gif,lever back extension,spine
back,barbell,http://d205bpvrqc9yn1.cloudfront.net/0574.gif,lever bent over row ,upper back
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/3200.gif,lever bent-over row with v-bar ,upper back
upper arms,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0575.gif,lever bicep curl,biceps
lower legs,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/2289.gif,lever calf press ,calves
chest,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0577.gif,lever chest press,pectorals
chest,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0576.gif,lever chest press ,pectorals
chest,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/1455.gif,lever chest press v. 2,pectorals
upper legs,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0578.gif,lever deadlift ,glutes
chest,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/1300.gif,lever decline chest press,pectorals
lower legs,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/1253.gif,lever donkey calf raise,calves
